Customer_ID,Customer_Name,Total_Orders,Total_Sales,Avg_Order_Value,Customer_Lifetime_Days,Days_Since_Last_Purchase,Ref_Date,Last_Purchase_Date,Pref_Order_Month,Purchase_Frequency,Avg_Browsing_Time,Unique_Products_Purchased,Favorite_Product,Favorite_Top3,Total_Likes,Total_Shares,Total_Add_to_Cart,Total_Engagement_Score,R_Recency_Days_MM,R_Avg_Interval_Days_MM,F_Orders_30d_MM,F_Orders_90d_MM,M_Sales_30d_MM,M_AOV_30d_MM,M_Sales_Var_90d_MM,B_Browse_Count_30d_MM,B_Avg_Browse_Time_30d_MM,B_Depth_30d_MM,C_Top1_Ratio_MM,C_Top3_Coverage_MM,Cluster,Cluster_Label
AM-00548,Mckee Sundaresam,85.0,12715.0,149.58823529411765,1080.0,1.0,2024-12-31,2024-12-30,12,0.0787037037037037,12.830588235294117,33.0,Fashion,Fashion:49.4%、Auto & Accessories:24.7%、Home & Furniture:16.5%,35.0,33.0,48.0,116.0,0.9906542056074766,0.9014707982293303,0.375,0.5,0.25908558030480655,0.5246913580246915,0.434716047371848,0.375,0.2841666666666666,0.5,0.3165871754107048,0.48235294117647065,2,中高价值客户群
AM-006576,Ochoa Willingham,48.0,7313.0,152.35416666666666,1044.0,34.0,2024-12-31,2024-11-27,11,0.04597701149425287,21.922916666666666,19.0,Fashion,Fashion:60.4%、Home & Furniture:35.4%、Auto & Accessories:2.1%,34.0,28.0,38.0,100.0,0.6822429906542056,0.5679298537708763,0.0,0.21428571428571427,0.0,0.5479359567901234,0.09182038115669733,0.0,0.0,0.0,0.5034722222222221,0.8854166666666661,3,中等价值客户群
AM-00720,Jacobson Willingham,46.0,6726.0,146.2173913043478,975.0,77.0,2024-12-31,2024-10-15,2,0.04717948717948718,23.61086956521739,23.0,Fashion,Fashion:56.5%、Home & Furniture:30.4%、Electronic:8.7%,31.0,32.0,35.0,98.0,0.28037383177570097,0.5873990512002791,0.0,0.07142857142857142,0.0,0.519524959742351,0.0,0.0,0.0,0.0,0.4373286329808068,0.7608695652173916,3,中等价值客户群
AN-001066,Reeves Herman,51.0,8543.0,167.50980392156862,1074.0,7.0,2024-12-31,2024-12-24,12,0.04748603351955307,13.454901960784314,21.0,Fashion,Fashion:70.6%、Auto & Accessories:15.7%、Home & Furniture:9.8%,14.0,17.0,23.0,54.0,0.9345794392523364,0.594053976867057,0.75,0.5714285714285714,0.6512309495896834,0.6998456790123455,0.4654520292104185,0.75,0.44708333333333333,0.6666666666666666,0.6762056173820881,0.784313725490196,0,高价值客户群
AN-001125,Woodward Van,58.0,8659.0,149.29310344827587,1034.0,16.0,2024-12-31,2024-12-15,9,0.05609284332688588,13.096551724137932,29.0,Fashion,Fashion:41.4%、Home & Furniture:25.9%、Auto & Accessories:22.4%,21.0,26.0,32.0,79.0,0.8504672897196262,0.713117101860272,0.125,0.42857142857142855,0.031652989449003514,0.09259259259259262,0.30843968502432334,0.125,0.0725,0.16666666666666666,0.18018018018018012,0.431034482758621,2,中高价值客户群
AN-001309,Vincent Peterman,66.0,10006.0,151.6060606060606,1065.0,16.0,2024-12-31,2024-12-15,1,0.061971830985915494,22.689393939393938,25.0,Fashion,Fashion:62.1%、Home & Furniture:25.8%、Auto & Accessories:9.1%,49.0,52.0,54.0,155.0,0.8504672897196262,0.7757115082547041,0.375,0.5,0.23974208675263772,0.4737654320987655,0.6050460815561487,0.375,0.7808333333333334,0.5,0.5324187824187825,0.833333333333333,0,高价值客户群
AN-001347,Finley Van,55.0,8520.0,154.9090909090909,1075.0,6.0,2024-12-31,2024-12-25,1,0.05116279069767442,21.31090909090909,20.0,Fashion,Fashion:67.3%、Home & Furniture:27.3%、Electronic:3.6%,45.0,44.0,46.0,135.0,0.9439252336448598,0.6501190847661409,0.25,0.21428571428571427,0.1559202813599062,0.4583333333333333,0.4048313787314533,0.25,0.785,0.3333333333333333,0.6199017199017198,0.9000000000000004,4,低价值潜在流失客户群
AN-001393,Barrett Gayman,66.0,10389.0,157.4090909090909,1003.0,74.0,2024-12-31,2024-10-18,9,0.06580259222333001,13.795454545454545,31.0,Fashion,Fashion:54.5%、Electronic:24.2%、Auto & Accessories:13.6%,32.0,29.0,36.0,97.0,0.30841121495327106,0.8097174471014255,0.0,0.14285714285714285,0.0,0.5713383838383839,0.12794002055747022,0.0,0.0,0.0,0.4037674037674037,0.583333333333333,3,中等价值客户群
AN-0014,Johnson Abelman,56.0,9079.0,162.125,1050.0,31.0,2024-12-31,2024-11-30,1,0.05333333333333334,13.02142857142857,27.0,Fashion,Fashion:50.0%、Auto & Accessories:28.6%、Home & Furniture:16.1%,24.0,21.0,33.0,78.0,0.7102803738317758,0.6792283826412058,0.0,0.2857142857142857,0.0,0.5931712962962963,0.23192991649367495,0.0,0.0,0.0,0.32657657657657657,0.7053571428571423,3,中等价值客户群
AN-001466,Hughes Brockman,69.0,11465.0,166.15942028985506,1069.0,12.0,2024-12-31,2024-12-19,9,0.06454630495790459,22.271014492753626,26.0,Fashion,Fashion:71.0%、Electronic:10.1%、Home & Furniture:10.1%,47.0,47.0,54.0,148.0,0.8878504672897196,0.7993849974660721,0.375,0.7142857142857142,0.24736225087924968,0.4938271604938271,0.4192122323665948,0.375,0.5091666666666668,0.5,0.6834443138790967,0.5217391304347823,0,高价值客户群
AN-00159,Blevins Thurman,75.0,12921.0,172.28,1074.0,7.0,2024-12-31,2024-12-24,8,0.06983240223463687,22.786666666666665,27.0,Fashion,Fashion:70.7%、Home & Furniture:13.3%、Auto & Accessories:8.0%,50.0,54.0,60.0,164.0,0.9345794392523364,0.8424188861144453,0.125,0.21428571428571427,0.12485345838218052,0.8287037037037037,0.0005971668909774792,0.125,0.07750000000000001,0.16666666666666666,0.6775375375375374,0.5600000000000005,1,低价值客户群
AN-001623,Lang Oakman,57.0,8485.0,148.859649122807,1065.0,16.0,2024-12-31,2024-12-15,1,0.05352112676056338,20.95263157894737,21.0,Fashion,Fashion:63.2%、Home & Furniture:35.1%、Auto & Accessories:1.8%,44.0,47.0,48.0,139.0,0.8504672897196262,0.6818327859488791,0.125,0.21428571428571427,0.12485345838218052,0.8287037037037037,0.4166552831728074,0.125,0.73,0.16666666666666666,0.5500237079184447,1.0,1,低价值客户群
AN-001645,Morrison Edelman,76.0,12191.0,160.4078947368421,1071.0,12.0,2024-12-31,2024-12-19,1,0.07096171802054155,13.376315789473685,28.0,Fashion,Fashion:47.4%、Home & Furniture:28.9%、Auto & Accessories:19.7%,28.0,19.0,41.0,88.0,0.8878504672897196,0.8507439668713408,0.125,0.21428571428571427,0.08206330597889801,0.49074074074074076,0.1617605674279798,0.125,0.54,0.16666666666666666,0.2818871503082029,0.7828947368421053,4,低价值潜在流失客户群
AN-00168,Haley Wasserman,89.0,14623.0,164.30337078651687,1072.0,9.0,2024-12-31,2024-12-22,4,0.0830223880597015,22.364044943820225,32.0,Fashion,Fashion:57.3%、Home & Furniture:24.7%、Auto & Accessories:12.4%,57.0,51.0,70.0,178.0,0.9158878504672897,0.9255470599180438,0.25,0.5,0.07561547479484174,0.14120370370370372,0.5443120150694456,0.25,0.6575,0.3333333333333333,0.45060228768093924,0.691011235955056,4,低价值潜在流失客户群
AN-00170,Mason Chapman,59.0,8651.0,146.6271186440678,1078.0,3.0,2024-12-31,2024-12-28,12,0.05473098330241188,13.103389830508474,25.0,Fashion,Fashion:61.0%、Home & Furniture:18.6%、Auto & Accessories:15.3%,29.0,19.0,33.0,81.0,0.9719626168224299,0.6972217161446408,0.375,0.3571428571428571,0.2297772567409144,0.4475308641975308,0.3899136720613231,0.375,0.40249999999999997,0.5,0.513666208581463,0.7203389830508478,0,高价值客户群
AN-00171,Savage Phan,73.0,10547.0,144.4794520547945,1039.0,10.0,2024-12-31,2024-12-21,5,0.07025986525505294,14.608219178082193,28.0,Fashion,Fashion:47.9%、Auto & Accessories:26.0%、Home & Furniture:24.7%,35.0,27.0,36.0,98.0,0.9065420560747663,0.8453764524198624,0.375,0.5714285714285714,0.264947245017585,0.5401234567901234,0.4895348368502732,0.375,0.2466666666666667,0.5,0.291682093051956,0.9246575342465748,0,高价值客户群
AN-001851,Beasley Pawlan,31.0,4249.0,137.06451612903226,1049.0,33.0,2024-12-31,2024-11-28,10,0.029551954242135366,14.016129032258064,22.0,Fashion,Fashion:58.1%、Electronic:16.1%、Home & Furniture:16.1%,15.0,9.0,12.0,36.0,0.691588785046729,0.113235597442366,0.0,0.21428571428571427,0.0,0.47715053763440857,0.2558501827703916,0.0,0.0,0.0,0.4635280441732055,0.467741935483871,3,中等价值客户群
AN-001900,Watson Bowman,55.0,8794.0,159.8909090909091,1065.0,16.0,2024-12-31,2024-12-15,3,0.051643192488262914,20.010909090909088,25.0,Fashion,Fashion:61.8%、Home & Furniture:25.5%、Auto & Accessories:10.9%,38.0,40.0,43.0,121.0,0.8504672897196262,0.6567211935625474,0.125,0.42857142857142855,0.041031652989449004,0.16666666666666669,0.701515833506885,0.125,0.325,0.16666666666666666,0.5272727272727273,0.9000000000000004,4,低价值潜在流失客户群
AN-001934,Bradford Noonan,47.0,8096.0,172.25531914893617,1081.0,0.0,2024-12-31,2024-12-31,1,0.043478260869565216,19.04042553191489,23.0,Fashion,Fashion:66.0%、Home & Furniture:23.4%、Auto & Accessories:8.5%,32.0,31.0,40.0,103.0,1.0,0.5220381741158551,0.125,0.14285714285714285,0.041031652989449004,0.16666666666666669,0.5342523731785477,0.125,0.25,0.16666666666666666,0.5975656507571401,0.8829787234042552,4,低价值潜在流失客户群
AN-00199,Cherry Workman,72.0,11894.0,165.19444444444446,1075.0,8.0,2024-12-31,2024-12-23,10,0.06697674418604652,22.008333333333333,20.0,Fashion,Fashion:84.7%、Home & Furniture:6.9%、Auto & Accessories:4.2%,51.0,55.0,57.0,163.0,0.9252336448598131,0.8200536456877301,0.25,0.5,0.15709261430246188,0.46296296296296297,0.5631161911123561,0.25,0.525,0.3333333333333333,0.9162287287287287,0.770833333333333,4,低价值潜在流失客户群
AN-002013,Shields Phan,62.0,10356.0,167.03225806451613,1065.0,16.0,2024-12-31,2024-12-15,9,0.05821596244131456,20.47258064516129,27.0,Fashion,Fashion:54.8%、Home & Furniture:24.2%、Auto & Accessories:12.9%,40.0,42.0,48.0,130.0,0.8504672897196262,0.7374076215579739,0.125,0.42857142857142855,0.12485345838218052,0.8287037037037037,0.14226904010647487,0.125,0.6775000000000001,0.16666666666666666,0.40874745713455385,0.5564516129032251,1,低价值客户群
AN-00223,Gay Willman,83.0,12892.0,155.32530120481928,1065.0,16.0,2024-12-31,2024-12-15,5,0.07793427230046948,13.334939759036144,30.0,Fashion,Fashion:63.9%、Auto & Accessories:16.9%、Home & Furniture:13.3%,31.0,28.0,44.0,103.0,0.8504672897196262,0.8968125158904023,0.125,0.3571428571428571,0.06682297772567408,0.3703703703703704,0.30942512982781445,0.125,0.375,0.16666666666666666,0.5618690980136762,0.668674698795181,4,低价值潜在流失客户群
AN-002332,Chapman Donovan,52.0,8405.0,161.6346153846154,1033.0,8.0,2024-12-31,2024-12-23,1,0.05033881897386254,22.584615384615386,22.0,Fashion,Fashion:76.9%、Auto & Accessories:13.5%、Home & Furniture:9.6%,39.0,33.0,43.0,115.0,0.9252336448598131,0.6377304217893547,0.25,0.5714285714285714,0.19636576787807736,0.6180555555555556,0.2416376107651276,0.25,0.24750000000000003,0.3333333333333333,0.7837837837837838,1.0,1,低价值客户群
AN-002431,Ashley Tran,43.0,6694.0,155.67441860465115,1080.0,1.0,2024-12-31,2024-12-30,3,0.03981481481481482,22.548837209302327,18.0,Fashion,Fashion:81.4%、Auto & Accessories:9.3%、Home & Furniture:7.0%,30.0,32.0,35.0,97.0,0.9906542056074766,0.4430958160788234,0.5,0.6428571428571428,0.5193434935521688,0.8680555555555554,0.4770407991884501,0.5,0.5025000000000001,0.6666666666666666,0.8597318248481038,0.8720930232558137,0,高价值客户群
AN-00256,Pennington Van,88.0,13396.0,152.22727272727272,1065.0,16.0,2024-12-31,2024-12-15,11,0.08262910798122065,13.444318181818181,33.0,Fashion,Fashion:61.4%、Electronic:20.5%、Auto & Accessories:13.6%,36.0,32.0,48.0,116.0,0.8504672897196262,0.9234236230449676,0.25,0.5,0.23856975381008205,0.7847222222222221,0.3704984261072469,0.25,0.435,0.3333333333333333,0.5195536445536446,0.75,1,低价值客户群
AN-002709,Valentine Wasserman,55.0,8949.0,162.70909090909092,1048.0,2.0,2024-12-31,2024-12-29,4,0.05248091603053435,11.405454545454544,26.0,Fashion,Fashion:54.5%、Home & Furniture:23.6%、Auto & Accessories:20.0%,17.0,12.0,30.0,59.0,0.9813084112149533,0.6679447785164383,0.375,0.42857142857142855,0.30246189917936694,0.6388888888888888,0.49171916136867677,0.375,0.2916666666666667,0.5,0.4037674037674037,0.9000000000000004,0,高价值客户群
AN-002768,Powell Brennan,58.0,9345.0,161.1206896551724,1067.0,16.0,2024-12-31,2024-12-15,3,0.05435801312089972,22.429310344827588,23.0,Fashion,Fashion:65.5%、Home & Furniture:20.7%、Auto & Accessories:10.3%,38.0,36.0,46.0,120.0,0.8504672897196262,0.6924768248862434,0.25,0.42857142857142855,0.24267291910902694,0.8009259259259258,0.40927728623478066,0.25,0.44375000000000003,0.3333333333333333,0.5900900900900901,0.8103448275862073,1,低价值客户群
AN-00300,Atkinson Ryan,73.0,9936.0,136.1095890410959,1070.0,7.0,2024-12-31,2024-12-24,11,0.06822429906542056,21.15890410958904,29.0,Home & Furniture,Home & Furniture:49.3%、Fashion:32.9%、Auto & Accessories:13.7%,53.0,47.0,56.0,156.0,0.9345794392523364,0.8300265494682173,0.5,0.6428571428571428,0.31242672919109027,0.45949074074074076,0.4192376982169011,0.5,0.41375000000000006,0.6666666666666666,0.3149450820683697,0.7739726027397253,0,高价值客户群
AN-0032,Perry Brennan,64.0,10405.0,162.578125,1046.0,31.0,2024-12-31,2024-11-30,6,0.06118546845124283,18.371875,24.0,Fashion,Fashion:67.2%、Home & Furniture:18.8%、Auto & Accessories:14.1%,42.0,42.0,52.0,136.0,0.7102803738317758,0.7679195688620222,0.0,0.3571428571428571,0.0,0.5952690972222221,0.29454850823978346,0.0,0.0,0.0,0.6184543918918919,1.0,3,中等价值客户群
AN-003490,Chen Tillman,45.0,6869.0,152.64444444444445,1074.0,4.0,2024-12-31,2024-12-27,3,0.04189944134078212,20.184444444444445,20.0,Fashion,Fashion:75.6%、Home & Furniture:11.1%、Auto & Accessories:8.9%,32.0,28.0,36.0,96.0,0.9626168224299065,0.4896278218425869,0.125,0.07142857142857142,0.041031652989449004,0.16666666666666669,0.0,0.125,0.205,0.16666666666666666,0.7605605605605605,0.7555555555555555,4,低价值潜在流失客户群
AN-00366,Mack Hoffman,44.0,6781.0,154.11363636363637,1043.0,38.0,2024-12-31,2024-11-23,8,0.04218600191754554,13.220454545454546,30.0,Fashion,Fashion:38.6%、Home & Furniture:31.8%、Auto & Accessories:15.9%,18.0,16.0,24.0,58.0,0.6448598130841121,0.4950923579816846,0.0,0.07142857142857142,0.0,0.5560816498316499,0.0,0.0,0.0,0.0,0.13359950859950853,0.25,3,中等价值客户群
AN-003684,Buckley Wasserman,67.0,10943.0,163.32835820895522,1065.0,9.0,2024-12-31,2024-12-22,7,0.06291079812206572,21.12686567164179,29.0,Fashion,Fashion:55.2%、Home & Furniture:23.9%、Electronic:11.9%,46.0,40.0,53.0,139.0,0.9158878504672897,0.7845620275293272,0.125,0.21428571428571427,0.1465416178194607,1.0,0.35717746083145036,0.125,0.8300000000000001,0.16666666666666666,0.41528842275110933,0.5074626865671634,1,低价值客户群
AN-00373,Horn Phan,74.0,12546.0,169.54054054054055,1080.0,2.0,2024-12-31,2024-12-29,9,0.06851851851851852,20.77567567567568,26.0,Fashion,Fashion:56.8%、Home & Furniture:27.0%、Auto & Accessories:14.9%,49.0,48.0,59.0,156.0,0.9813084112149533,0.8324005954395279,0.375,0.3571428571428571,0.31008206330597887,0.6589506172839505,0.16669555461501773,0.375,0.47916666666666674,0.5,0.44131969807645477,0.9256756756756754,0,高价值客户群
AN-00396,Fowler Flanagan,49.0,7728.0,157.71428571428572,1065.0,16.0,2024-12-31,2024-12-15,9,0.046009389671361506,12.620408163265306,27.0,Fashion,Fashion:59.2%、Home & Furniture:16.3%、Auto & Accessories:14.3%,21.0,17.0,27.0,65.0,0.8504672897196262,0.5688306202103861,0.125,0.21428571428571427,0.11254396248534583,0.7314814814814814,0.2925401165520479,0.125,0.5175,0.16666666666666666,0.4825335539621254,0.43877551020408134,1,低价值客户群
AN-004,Sanchez Bergman,79.0,11950.0,151.26582278481013,1073.0,8.0,2024-12-31,2024-12-23,4,0.07362534948741846,13.278481012658228,32.0,Fashion,Fashion:51.9%、Home & Furniture:21.5%、Auto & Accessories:19.0%,39.0,27.0,47.0,113.0,0.9252336448598131,0.869410667711396,0.25,0.3571428571428571,0.11840562719812425,0.3101851851851852,0.40529764663992857,0.25,0.2775,0.3333333333333333,0.35882084616261833,0.5822784810126587,2,中高价值客户群
AN-00417,Morales Chapman,35.0,5755.0,164.42857142857142,1004.0,77.0,2024-12-31,2024-10-15,1,0.0348605577689243,18.768571428571427,23.0,Fashion,Fashion:54.3%、Home & Furniture:28.6%、Auto & Accessories:14.3%,23.0,26.0,30.0,79.0,0.28037383177570097,0.30708127889167947,0.0,0.07142857142857142,0.0,0.6038359788359788,0.0,0.0,0.0,0.0,0.3993564993564993,0.8428571428571425,3,中等价值客户群
AN-004334,Edwards Beltran,55.0,8192.0,148.94545454545454,1077.0,2.0,2024-12-31,2024-12-29,7,0.0510677808727948,12.901818181818182,27.0,Fashion,Fashion:54.5%、Electronic:21.8%、Home & Furniture:18.2%,29.0,17.0,32.0,78.0,0.9813084112149533,0.6487986630068596,0.5,0.42857142857142855,0.32356389214536924,0.48148148148148145,0.7999289371399736,0.5,0.47000000000000003,0.6666666666666666,0.4037674037674037,0.7000000000000002,0,高价值客户群
AN-00453,Williams Abelman,60.0,9425.0,157.08333333333334,1035.0,46.0,2024-12-31,2024-11-15,11,0.057971014492753624,21.631666666666668,23.0,Fashion,Fashion:66.7%、Home & Furniture:20.0%、Auto & Accessories:13.3%,42.0,35.0,46.0,123.0,0.5700934579439252,0.7344358471066881,0.0,0.21428571428571427,0.0,0.5698302469135803,0.10092120457519413,0.0,0.0,0.0,0.6096096096096095,1.0,3,中等价值客户群
AN-0051,Smith Abelman,89.0,14298.0,160.65168539325842,1079.0,2.0,2024-12-31,2024-12-29,4,0.082483781278962,13.092134831460674,36.0,Fashion,Fashion:49.4%、Home & Furniture:22.5%、Auto & Accessories:19.1%,37.0,35.0,48.0,120.0,0.9813084112149533,0.9227111540941328,0.5,0.9285714285714285,0.451348182883939,0.7337962962962963,0.46216646732908995,0.5,0.46125,0.6666666666666666,0.31703613726085633,0.5056179775280896,0,高价值客户群
AN-00555,Rodgers Huffman,43.0,6739.0,156.72093023255815,1066.0,15.0,2024-12-31,2024-12-16,1,0.040337711069418386,21.506976744186044,19.0,Fashion,Fashion:79.1%、Auto & Accessories:11.6%、Home & Furniture:9.3%,33.0,26.0,34.0,93.0,0.8598130841121495,0.45497961191235503,0.25,0.21428571428571427,0.246189917936694,0.8148148148148149,0.07617460861308736,0.25,0.6074999999999999,0.3333333333333333,0.8202388434946575,1.0,1,低价值客户群
AN-00660,Sharp Harrigan,64.0,9527.0,148.859375,1074.0,8.0,2024-12-31,2024-12-23,5,0.0595903165735568,20.628125,22.0,Fashion,Fashion:73.4%、Auto & Accessories:15.6%、Home & Furniture:10.9%,48.0,43.0,47.0,138.0,0.9252336448598131,0.7520745077506465,0.25,0.5714285714285714,0.10785463071512309,0.26851851851851855,0.3245930494252643,0.25,0.63875,0.3333333333333333,0.7245917792792793,1.0,4,低价值潜在流失客户群
