Customer_ID,Customer_Name,Cluster,Segment,Region,Country,Gender,Age,Total_Sales,Total_Orders,Avg_Order_Value,Customer_Lifetime,Purchase_Frequency,Profit_Margin,Last_Purchase_Days_Ago,Engagement_Score,Favorite_Product,Unique_Products_Bought,Total_Sales_Percentile,Total_Sales_Grade,Avg_Order_Value_Percentile,Avg_Order_Value_Grade,Purchase_Frequency_Percentile,Purchase_Frequency_Grade,Personalized_Description
AN-001347,Finley Van,0,Consumer,North,United Kingdom,Female,30,8520.0,55,154.91,1075,0.0512,0.4762,6,135,Shirts,20,24.27672955974843,D,44.528301886792455,C,22.20125786163522,D,客户 Finley Van (AN-001347) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001393,Barrett Gayman,0,Home Office,Central,United States,Male,40,10389.0,66,157.41,1003,0.0658,0.4959,74,97,Running Shoes,31,56.35220125786164,C,54.21383647798742,C,67.16981132075472,B,客户 Barrett Gayman (AN-001393) 属于第 0 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Running Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AN-0014,Johnson Abelman,0,Corporate,Africa,Democratic Republic of the Congo,Male,37,9079.0,56,162.12,1050,0.0533,0.4555,31,78,Fossil Watch,27,34.40251572327044,D,71.69811320754717,B,28.49056603773585,D,客户 Johnson Abelman (AN-0014) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001466,Hughes Brockman,1,Consumer,EMEA,Iraq,Female,26,11465.0,69,166.16,1069,0.0645,0.462,12,148,Fossil Watch,26,74.33962264150942,B,85.9119496855346,A,63.77358490566037,B,客户 Hughes Brockman (AN-001466) 属于第 1 类用户群体。 这是一位中高价值客户，消费金额较为可观。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：邀请参与产品评测和新品试用。
AN-00159,Blevins Thurman,1,Consumer,Central,France,Female,22,12921.0,75,172.28,1074,0.0698,0.4932,7,164,Running Shoes,27,89.937106918239,A,95.9748427672956,A,75.53459119496856,B,客户 Blevins Thurman (AN-00159) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Running Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；邀请参与产品评测和新品试用。
AN-001623,Lang Oakman,0,Corporate,Oceania,Australia,Female,32,8485.0,57,148.86,1065,0.0535,0.4558,16,139,T - Shirts,21,24.0251572327044,D,20.31446540880503,D,29.433962264150942,D,客户 Lang Oakman (AN-001623) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：T - Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001645,Morrison Edelman,1,Consumer,North,Mexico,Male,47,12191.0,76,160.41,1071,0.071,0.4615,12,88,Casula Shoes,28,82.13836477987422,A,64.96855345911949,B,78.36477987421384,B,客户 Morrison Edelman (AN-001645) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Casula Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送。
AN-00168,Haley Wasserman,1,Consumer,Caribbean,Cuba,Female,21,14623.0,89,164.3,1072,0.083,0.4838,9,178,Formal Shoes,32,97.48427672955975,A,79.87421383647799,B,96.41509433962264,A,客户 Haley Wasserman (AN-00168) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买频率高，复购行为明显。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Formal Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；推荐忠诚度计划和定期购服务；邀请参与产品评测和新品试用。
AN-00170,Mason Chapman,0,Consumer,EMEA,Poland,Male,30,8651.0,59,146.63,1078,0.0547,0.4616,3,81,Suits,25,26.163522012578618,D,14.654088050314465,E,32.83018867924528,D,客户 Mason Chapman (AN-00170) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Suits。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00171,Savage Phan,1,Consumer,East,United States,Male,33,10547.0,73,144.48,1039,0.0703,0.4654,10,98,T - Shirts,28,60.50314465408805,B,10.817610062893083,E,76.35220125786164,B,客户 Savage Phan (AN-00171) 属于第 1 类用户群体。 这是一位中高价值客户，消费金额较为可观。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：T - Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001851,Beasley Pawlan,0,Corporate,Canada,Canada,Male,25,4249.0,31,137.06,1049,0.0296,0.4297,33,36,Sneakers,22,0.12578616352201258,E,2.3899371069182394,E,0.37735849056603776,E,客户 Beasley Pawlan (AN-001851) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Sneakers。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001900,Watson Bowman,0,Consumer,North,Mexico,Female,66,8794.0,55,159.89,1065,0.0516,0.4685,16,121,Titak watch,25,28.67924528301887,D,63.270440251572325,B,23.77358490566038,D,客户 Watson Bowman (AN-001900) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Titak watch。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001934,Bradford Noonan,0,Corporate,North Asia,China,Female,40,8096.0,47,172.26,1081,0.0435,0.461,0,103,Jeans,23,18.49056603773585,E,95.84905660377359,A,7.421383647798742,E,客户 Bradford Noonan (AN-001934) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 最常购买的产品是：Jeans。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00199,Cherry Workman,1,Home Office,Oceania,New Zealand,Female,21,11894.0,72,165.19,1075,0.067,0.4705,8,163,Fossil Watch,20,78.17610062893083,B,83.58490566037736,A,69.74842767295597,B,客户 Cherry Workman (AN-00199) 属于第 1 类用户群体。 这是一位中高价值客户，消费金额较为可观。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：邀请参与产品评测和新品试用。
AN-002013,Shields Phan,1,Consumer,EMEA,Turkey,Female,19,10356.0,62,167.03,1065,0.0582,0.503,16,130,Running Shoes,27,55.84905660377358,C,87.9245283018868,A,42.38993710691824,C,客户 Shields Phan (AN-002013) 属于第 1 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 最常购买的产品是：Running Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00223,Gay Willman,1,Consumer,West,United States,Male,50,12892.0,83,155.33,1065,0.0779,0.4809,16,103,Formal Shoes,30,89.68553459119497,A,45.911949685534594,C,90.88050314465409,A,客户 Gay Willman (AN-00223) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买频率高，复购行为明显。 最常购买的产品是：Formal Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；推荐忠诚度计划和定期购服务。
AN-002332,Chapman Donovan,0,Consumer,North Asia,Japan,Female,25,8405.0,52,161.63,1033,0.0503,0.4775,8,115,T - Shirts,22,23.144654088050316,D,69.74842767295597,B,20.0,D,客户 Chapman Donovan (AN-002332) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：T - Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AN-002431,Ashley Tran,0,Consumer,Oceania,Australia,Female,19,6694.0,43,155.67,1080,0.0398,0.4668,1,97,Sneakers,18,5.534591194968554,E,47.42138364779874,C,3.7735849056603774,E,客户 Ashley Tran (AN-002431) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Sneakers。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00256,Pennington Van,1,Corporate,Central,France,Male,29,13396.0,88,152.23,1065,0.0826,0.4606,16,116,Fossil Watch,33,92.95597484276729,A,33.899371069182386,D,96.0377358490566,A,客户 Pennington Van (AN-00256) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买频率高，复购行为明显。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；推荐忠诚度计划和定期购服务。
AN-002709,Valentine Wasserman,0,Corporate,Central,United States,Male,21,8949.0,55,162.71,1048,0.0525,0.4743,2,59,Titak watch,26,31.32075471698113,D,73.9622641509434,B,26.163522012578618,D,客户 Valentine Wasserman (AN-002709) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Titak watch。 产品涉猎广泛，购买过多种不同类型的产品。
AN-002768,Powell Brennan,0,Corporate,Central,Honduras,Female,20,9345.0,58,161.12,1067,0.0544,0.4455,16,120,Jeans,23,38.742138364779876,D,67.16981132075472,B,31.82389937106918,D,客户 Powell Brennan (AN-002768) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Jeans。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00300,Atkinson Ryan,1,Corporate,North Asia,China,Female,33,9936.0,73,136.11,1070,0.0682,0.4438,7,156,Umbrellas,29,48.490566037735846,C,1.7610062893081762,E,72.0754716981132,B,客户 Atkinson Ryan (AN-00300) 属于第 1 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Umbrellas。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：邀请参与产品评测和新品试用。
AN-0032,Perry Brennan,0,Consumer,Central Asia,Bangladesh,Female,19,10405.0,64,162.58,1046,0.0612,0.4644,31,136,Titak watch,24,56.72955974842767,C,73.77358490566037,B,52.38993710691824,C,客户 Perry Brennan (AN-0032) 属于第 0 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Titak watch。 产品涉猎广泛，购买过多种不同类型的产品。
AN-003490,Chen Tillman,0,Consumer,North,Mexico,Female,33,6869.0,45,152.64,1074,0.0419,0.439,4,96,Suits,20,6.540880503144654,E,35.72327044025157,D,5.534591194968554,E,客户 Chen Tillman (AN-003490) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Suits。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00366,Mack Hoffman,0,Consumer,Central Asia,India,Male,43,6781.0,44,154.11,1043,0.0422,0.4585,38,58,Formal Shoes,30,6.037735849056604,E,41.25786163522013,C,5.9748427672955975,E,客户 Mack Hoffman (AN-00366) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Formal Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AN-003684,Buckley Wasserman,1,Corporate,EMEA,Turkey,Female,28,10943.0,67,163.33,1065,0.0629,0.4779,9,139,T - Shirts,29,67.48427672955974,B,75.9748427672956,B,58.42767295597484,C,客户 Buckley Wasserman (AN-003684) 属于第 1 类用户群体。 这是一位中高价值客户，消费金额较为可观。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：T - Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00373,Horn Phan,1,Corporate,North,Mexico,Female,23,12546.0,74,169.54,1080,0.0685,0.469,2,156,Titak watch,26,86.16352201257862,A,91.9496855345912,A,72.64150943396226,B,客户 Horn Phan (AN-00373) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Titak watch。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；邀请参与产品评测和新品试用。
AN-00396,Fowler Flanagan,0,Corporate,Southeast Asia,Singapore,Male,39,7728.0,49,157.71,1065,0.046,0.468,16,65,Jeans,27,13.459119496855346,E,55.15723270440252,C,11.88679245283019,E,客户 Fowler Flanagan (AN-00396) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Jeans。 产品涉猎广泛，购买过多种不同类型的产品。
AN-004,Sanchez Bergman,1,Corporate,Central Asia,Afghanistan,Male,22,11950.0,79,151.27,1073,0.0736,0.4406,8,113,Formal Shoes,32,79.24528301886792,B,30.440251572327043,D,84.65408805031447,A,客户 Sanchez Bergman (AN-004) 属于第 1 类用户群体。 这是一位中高价值客户，消费金额较为可观。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买频率高，复购行为明显。 最常购买的产品是：Formal Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：推荐忠诚度计划和定期购服务。
AN-00417,Morales Chapman,0,Home Office,North Asia,China,Female,21,5755.0,35,164.43,1004,0.0349,0.493,77,79,Dinning Tables,23,1.7610062893081762,E,80.25157232704403,A,1.509433962264151,E,客户 Morales Chapman (AN-00417) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 购买力强，平均订单价值较高。 最常购买的产品是：Dinning Tables。 产品涉猎广泛，购买过多种不同类型的产品。
AN-004334,Edwards Beltran,0,Consumer,Central,United States,Male,34,8192.0,55,148.95,1077,0.0511,0.4732,2,78,Fossil Watch,27,19.622641509433965,E,21.19496855345912,D,21.82389937106918,D,客户 Edwards Beltran (AN-004334) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。
AN-00453,Williams Abelman,0,Corporate,South,United States,Female,24,9425.0,60,157.08,1035,0.058,0.4335,46,123,Formal Shoes,23,40.503144654088054,C,52.83018867924528,C,41.509433962264154,C,客户 Williams Abelman (AN-00453) 属于第 0 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Formal Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AN-0051,Smith Abelman,1,Consumer,North Asia,China,Male,61,14298.0,89,160.65,1079,0.0825,0.4874,2,120,Running Shoes,36,96.85534591194968,A,65.78616352201257,B,95.84905660377359,A,客户 Smith Abelman (AN-0051) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买频率高，复购行为明显。 最常购买的产品是：Running Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；推荐忠诚度计划和定期购服务。
