Customer ID,Customer Name,Segment,Country,Region,City,State,Gender,Age,Age Group,Education,Marital Status,Total_Orders,Total_Quantity,Total_Sales,Total_Profit,Total_Discount_Amount,Total_Net_Sales,Total_Shipping_Cost,Avg_Discount,First_Purchase_Date,Last_Purchase_Date,Customer_Lifetime_Days,Purchase_Days,Avg_Purchase_Interval_Days,Favorite_Product,Unique_Products_Purchased,Avg_Browsing_Time,Total_Likes,Total_Shares,Total_Add_to_Cart,Total_Engagement_Score,Critical_Orders,High_Orders,Low_Orders,Medium_Orders,Month_1_Orders,Month_2_Orders,Month_3_Orders,Month_4_Orders,Month_5_Orders,Month_6_Orders,Month_7_Orders,Month_8_Orders,Month_9_Orders,Month_10_Orders,Month_11_Orders,Month_12_Orders,Avg_Order_Value,Avg_Order_Profit,Avg_Order_Quantity,Profit_Margin,Shipping_Cost_Ratio,Discount_Ratio,Purchase_Frequency,Browsing_Time_per_Order,Days_Since_Last_Purchase,Monetary_Value,Purchase_Frequency_RFM,Cluster
AN-00373,Horn Phan,Corporate,Mexico,North,Coyoacán,Distrito Federal,Female,23,18-24,Bachelor,Single,74,215.0,12546.0,5883.7,406.56,12139.44,588.6,0.0317567567567567,2022-01-14,2024-12-29,1080,64,14.794520547945206,Titak watch,26,20.77567567567568,49,48,59,156,1,26,3,44,6,1,7,5,6,6,5,3,10,7,10,8,169.54,79.51,2.91,0.469,0.0469,0.0324,0.0685,20.78,2,12546.0,74,0
AN-00396,Fowler Flanagan,Corporate,Singapore,Southeast Asia,Singapore,Singapore,Male,39,35-49,Master,Married,49,129.0,7728.0,3616.5,245.18,7482.82,361.5,0.0310204081632653,2022-01-15,2024-12-15,1065,43,22.1875,Jeans,27,12.620408163265306,21,17,27,65,3,22,0,24,2,6,3,1,7,4,3,3,9,6,2,3,157.71,73.81,2.63,0.468,0.0468,0.0317,0.046,12.62,16,7728.0,49,1
AN-004,Sanchez Bergman,Corporate,Afghanistan,Central Asia,Kabul,Kabul,Male,22,18-24,Bachelor,Married,79,244.0,11950.0,5264.8,369.22,11580.78,526.3,0.030886075949367,2022-01-15,2024-12-23,1073,71,13.756410256410255,Formal Shoes,32,13.278481012658228,39,27,47,113,5,22,4,48,6,3,7,11,2,5,4,11,9,10,4,7,151.27,66.64,3.09,0.4406,0.044,0.0309,0.0736,13.28,8,11950.0,79,2
AN-00417,Morales Chapman,Home Office,China,North Asia,Yuci,Shanxi,Female,21,18-24,High School,Single,35,103.0,5755.0,2837.1,158.71,5596.29,283.9,0.0282857142857142,2022-01-15,2024-10-15,1004,31,29.529411764705884,Dinning Tables,23,18.768571428571427,23,26,30,79,7,12,2,14,6,2,3,6,2,2,3,2,3,1,3,2,164.43,81.06,2.94,0.493,0.0493,0.0276,0.0349,18.77,77,5755.0,35,4
AN-004334,Edwards Beltran,Consumer,United States,Central,Chicago,Illinois,Male,34,25-34,Bachelor,Married,55,145.0,8192.0,3876.2,246.17,7945.83,387.4,0.0303636363636363,2022-01-17,2024-12-29,1077,51,19.944444444444443,Fossil Watch,27,12.901818181818182,29,17,32,78,2,13,1,39,7,2,1,7,6,5,9,3,2,4,2,7,148.95,70.48,2.64,0.4732,0.0473,0.0301,0.0511,12.9,2,8192.0,55,1
AN-00453,Williams Abelman,Corporate,United States,South,Jacksonville,North Carolina,Female,24,18-24,High School,Married,60,187.0,9425.0,4086.2,321.03000000000003,9103.97,408.4,0.0326666666666666,2022-01-15,2024-11-15,1035,56,17.54237288135593,Formal Shoes,23,21.631666666666668,42,35,46,123,2,13,0,45,7,5,6,5,2,4,5,5,4,4,8,5,157.08,68.1,3.12,0.4335,0.0433,0.0341,0.058,21.63,46,9425.0,60,4
AN-0051,Smith Abelman,Consumer,China,North Asia,Wuhan,Hubei,Male,61,50-64,Doctorate,Married,89,251.0,14298.0,6968.5,408.39,13889.61,697.0,0.0289887640449438,2022-01-15,2024-12-29,1079,73,12.261363636363637,Running Shoes,36,13.092134831460674,37,35,48,120,11,31,1,46,9,6,9,11,8,5,8,4,6,8,7,8,160.65,78.3,2.82,0.4874,0.0487,0.0286,0.0825,13.09,2,14298.0,89,2
AN-00555,Rodgers Huffman,Consumer,Australia,Oceania,Brisbane,Queensland,Female,21,18-24,High School,Single,43,128.0,6739.0,3165.8,206.17,6532.83,316.6,0.0288372093023255,2022-01-15,2024-12-16,1066,37,25.38095238095238,Fossil Watch,19,21.506976744186044,33,26,34,93,1,11,0,31,9,2,3,3,0,3,4,5,2,1,4,7,156.72,73.62,2.98,0.4698,0.047,0.0306,0.0403,21.51,15,6739.0,43,3
AN-00660,Sharp Harrigan,Consumer,United States,West,Los Angeles,California,Female,70,65+,Doctorate,Married,64,206.0,9527.0,4137.6,278.08,9248.92,413.7,0.0290625,2022-01-14,2024-12-23,1074,56,17.047619047619047,Suits,22,20.628125,48,43,47,138,1,17,10,36,8,2,7,3,9,7,3,7,3,3,8,4,148.86,64.65,3.22,0.4343,0.0434,0.0292,0.0596,20.63,8,9527.0,64,3
AN-00731,Allen Ausman,Corporate,China,North Asia,Wuhan,Hubei,Female,46,35-49,Doctorate,Single,50,143.0,7907.0,3516.9,232.4,7674.6,351.7,0.0283999999999999,2022-02-23,2024-12-27,1038,46,21.18367346938776,Dinner Crockery,20,24.132,41,41,43,125,1,17,5,27,2,5,2,3,5,6,7,3,4,6,1,6,158.14,70.34,2.86,0.4448,0.0445,0.0294,0.0482,24.13,4,7907.0,50,3
AN-00738,Leon Sissman,Home Office,India,Central Asia,Asansol,West Bengal,Female,32,25-34,Bachelor,Married,90,274.0,16321.0,7960.3,512.26,15808.74,795.6,0.0305555555555555,2022-01-15,2024-11-24,1044,74,11.730337078651685,T - Shirts,24,21.412222222222223,63,62,71,196,4,14,12,60,10,9,9,8,7,5,13,5,4,9,8,3,181.34,88.45,3.04,0.4877,0.0487,0.0314,0.0862,21.41,37,16321.0,90,0
